model_class,id,name,version,description,labels,icon,edam_operations,edam_topics,hidden,is_workflow_compatible,xrefs,versions,hidden_versions,link,min_width,target,has_parameters,panel_section_id,panel_section_name,form_style,tool_shed_repository.name,tool_shed_repository.owner,tool_shed_repository.changeset_revision,tool_shed_repository.tool_shed,tool_text
Tool,toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_communitytype/mothur_get_communitytype/1.39.5.0,Get.communitytype,1.39.5.0,description,[],,[],[],,True,"[{'value': 'mothur', 'type': 'bio.tools'}]","['1.36.1.0', '1.39.5.0']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fmothur_get_communitytype%2Fmothur_get_communitytype%2F1.39.5.0,-1,galaxy_main,True,mothur,Mothur,regular,mothur_get_communitytype,iuc,10c5aa12a1d5,toolshed.g2.bx.psu.edu,Get.communitytype description Mothur
Tool,toolshed.g2.bx.psu.edu/repos/iuc/mothur_filter_shared/mothur_filter_shared/1.39.5.0,Filter.shared,1.39.5.0,remove OTUs based on various critieria,[],,[],[],,True,"[{'value': 'mothur', 'type': 'bio.tools'}]","['1.36.1.0', '1.39.5.0']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fmothur_filter_shared%2Fmothur_filter_shared%2F1.39.5.0,-1,galaxy_main,True,mothur,Mothur,regular,mothur_filter_shared,iuc,c8c3b2271c87,toolshed.g2.bx.psu.edu,Filter.shared remove OTUs based on various critieria Mothur
Tool,toolshed.g2.bx.psu.edu/repos/iuc/mothur_filter_seqs/mothur_filter_seqs/1.39.5.0,Filter.seqs,1.39.5.0,removes columns from alignments,[],,[],[],,True,"[{'value': 'mothur', 'type': 'bio.tools'}]","['1.36.1.0', '1.39.5.0']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fmothur_filter_seqs%2Fmothur_filter_seqs%2F1.39.5.0,-1,galaxy_main,True,mothur,Mothur,regular,mothur_filter_seqs,iuc,3524ca06478e,toolshed.g2.bx.psu.edu,Filter.seqs removes columns from alignments Mothur
Tool,toolshed.g2.bx.psu.edu/repos/iuc/mothur_fastq_info/mothur_fastq_info/1.39.5.0,Fastq.info,1.39.5.0,Convert fastq to fasta and quality,[],,[],[],,True,"[{'value': 'mothur', 'type': 'bio.tools'}]","['1.36.1.0', '1.39.5.0']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fmothur_fastq_info%2Fmothur_fastq_info%2F1.39.5.0,-1,galaxy_main,True,mothur,Mothur,regular,mothur_fastq_info,iuc,22da6f6c5be8,toolshed.g2.bx.psu.edu,Fastq.info Convert fastq to fasta and quality Mothur
Tool,toolshed.g2.bx.psu.edu/repos/iuc/mothur_dist_shared/mothur_dist_shared/1.39.5.0,Dist.shared,1.39.5.0,Generate a phylip-formatted dissimilarity distance matrix among multiple groups,[],,[],[],,True,"[{'value': 'mothur', 'type': 'bio.tools'}]","['1.36.1.0', '1.39.5.0']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fmothur_dist_shared%2Fmothur_dist_shared%2F1.39.5.0,-1,galaxy_main,True,mothur,Mothur,regular,mothur_dist_shared,iuc,418100660ba3,toolshed.g2.bx.psu.edu,Dist.shared Generate a phylip-formatted dissimilarity distance matrix among multiple groups Mothur
Tool,toolshed.g2.bx.psu.edu/repos/iuc/mothur_dist_seqs/mothur_dist_seqs/1.39.5.0,Dist.seqs,1.39.5.0,calculate uncorrected pairwise distances between aligned sequences,[],,[],[],,True,"[{'value': 'mothur', 'type': 'bio.tools'}]","['1.36.1.0', '1.39.5.0']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fmothur_dist_seqs%2Fmothur_dist_seqs%2F1.39.5.0,-1,galaxy_main,True,mothur,Mothur,regular,mothur_dist_seqs,iuc,4d76fba83f24,toolshed.g2.bx.psu.edu,Dist.seqs calculate uncorrected pairwise distances between aligned sequences Mothur
Tool,toolshed.g2.bx.psu.edu/repos/iuc/mothur_deunique_tree/mothur_deunique_tree/1.39.5.0,Deunique.tree,1.39.5.0,Reinsert the redundant sequence identiers back into a unique tree.,[],,[],[],,True,"[{'value': 'mothur', 'type': 'bio.tools'}]","['1.36.1.0', '1.39.5.0']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fmothur_deunique_tree%2Fmothur_deunique_tree%2F1.39.5.0,-1,galaxy_main,True,mothur,Mothur,regular,mothur_deunique_tree,iuc,283af2e6130c,toolshed.g2.bx.psu.edu,Deunique.tree Reinsert the redundant sequence identiers back into a unique tree. Mothur
Tool,toolshed.g2.bx.psu.edu/repos/iuc/mothur_deunique_seqs/mothur_deunique_seqs/1.39.5.0,Deunique.seqs,1.39.5.0,Return all sequences,[],,[],[],,True,"[{'value': 'mothur', 'type': 'bio.tools'}]","['1.36.1.0', '1.39.5.0']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fmothur_deunique_seqs%2Fmothur_deunique_seqs%2F1.39.5.0,-1,galaxy_main,True,mothur,Mothur,regular,mothur_deunique_seqs,iuc,3767f899f13c,toolshed.g2.bx.psu.edu,Deunique.seqs Return all sequences Mothur
Tool,toolshed.g2.bx.psu.edu/repos/iuc/mothur_degap_seqs/mothur_degap_seqs/1.39.5.0,Degap.seqs,1.39.5.0,Remove gap characters from sequences,[],,[],[],,True,"[{'value': 'mothur', 'type': 'bio.tools'}]","['1.36.1.0', '1.39.5.0']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fmothur_degap_seqs%2Fmothur_degap_seqs%2F1.39.5.0,-1,galaxy_main,True,mothur,Mothur,regular,mothur_degap_seqs,iuc,6f08af23888a,toolshed.g2.bx.psu.edu,Degap.seqs Remove gap characters from sequences Mothur
Tool,toolshed.g2.bx.psu.edu/repos/iuc/mothur_create_database/mothur_create_database/1.39.5.0,Create.database,1.39.5.0,"creates a database file from a list, repnames, repfasta and contaxonomy file",[],,[],[],,True,"[{'value': 'mothur', 'type': 'bio.tools'}]","['1.36.1.0', '1.39.5.0']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fmothur_create_database%2Fmothur_create_database%2F1.39.5.0,-1,galaxy_main,True,mothur,Mothur,regular,mothur_create_database,iuc,16f6d606521a,toolshed.g2.bx.psu.edu,"Create.database creates a database file from a list, repnames, repfasta and contaxonomy file Mothur"
Tool,toolshed.g2.bx.psu.edu/repos/iuc/mothur_count_seqs/mothur_count_seqs/1.39.5.0,Count.seqs,1.39.5.0,(aka make.table) counts the number of sequences represented by the representative,[],,[],[],,True,"[{'value': 'mothur', 'type': 'bio.tools'}]","['1.36.1.0', '1.39.5.0']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fmothur_count_seqs%2Fmothur_count_seqs%2F1.39.5.0,-1,galaxy_main,True,mothur,Mothur,regular,mothur_count_seqs,iuc,ffee46220ddd,toolshed.g2.bx.psu.edu,Count.seqs (aka make.table) counts the number of sequences represented by the representative Mothur
Tool,toolshed.g2.bx.psu.edu/repos/iuc/mothur_count_groups/mothur_count_groups/1.39.5.0,Count.groups,1.39.5.0,counts the number of sequences represented by a specific group or set of groups,[],,[],[],,True,"[{'value': 'mothur', 'type': 'bio.tools'}]","['1.36.1.0', '1.39.5.0']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fmothur_count_groups%2Fmothur_count_groups%2F1.39.5.0,-1,galaxy_main,True,mothur,Mothur,regular,mothur_count_groups,iuc,dc3826bfc1ed,toolshed.g2.bx.psu.edu,Count.groups counts the number of sequences represented by a specific group or set of groups Mothur
Tool,toolshed.g2.bx.psu.edu/repos/iuc/mothur_corr_axes/mothur_corr_axes/1.39.5.0,Corr.axes,1.39.5.0,correlation of data to axes,[],,[],[],,True,"[{'value': 'mothur', 'type': 'bio.tools'}]","['1.36.1.0', '1.39.5.0']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fmothur_corr_axes%2Fmothur_corr_axes%2F1.39.5.0,-1,galaxy_main,True,mothur,Mothur,regular,mothur_corr_axes,iuc,b030bd08117b,toolshed.g2.bx.psu.edu,Corr.axes correlation of data to axes Mothur
Tool,toolshed.g2.bx.psu.edu/repos/iuc/mothur_cooccurrence/mothur_cooccurrence/1.39.5.0,Cooccurrence,1.39.5.0,tests whether presence-absence patterns differ from chance,[],,[],[],,True,"[{'value': 'mothur', 'type': 'bio.tools'}]","['1.36.1.0', '1.39.5.0']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fmothur_cooccurrence%2Fmothur_cooccurrence%2F1.39.5.0,-1,galaxy_main,True,mothur,Mothur,regular,mothur_cooccurrence,iuc,353091f7b470,toolshed.g2.bx.psu.edu,Cooccurrence tests whether presence-absence patterns differ from chance Mothur
Tool,toolshed.g2.bx.psu.edu/repos/iuc/mothur_consensus_seqs/mothur_consensus_seqs/1.39.5.0,Consensus.seqs,1.39.5.0,Find a consensus sequence for each OTU or phylotype,[],,[],[],,True,"[{'value': 'mothur', 'type': 'bio.tools'}]","['1.36.1.0', '1.39.5.0']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fmothur_consensus_seqs%2Fmothur_consensus_seqs%2F1.39.5.0,-1,galaxy_main,True,mothur,Mothur,regular,mothur_consensus_seqs,iuc,6f281dc9d01c,toolshed.g2.bx.psu.edu,Consensus.seqs Find a consensus sequence for each OTU or phylotype Mothur
Tool,toolshed.g2.bx.psu.edu/repos/iuc/mothur_collect_single/mothur_collect_single/1.39.5.0,Collect.single,1.39.5.0,Generate collector's curves for OTUs,[],,[],[],,True,"[{'value': 'mothur', 'type': 'bio.tools'}]","['1.36.1.0', '1.39.5.0']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fmothur_collect_single%2Fmothur_collect_single%2F1.39.5.0,-1,galaxy_main,True,mothur,Mothur,regular,mothur_collect_single,iuc,a52aa1bdc760,toolshed.g2.bx.psu.edu,Collect.single Generate collector's curves for OTUs Mothur
Tool,toolshed.g2.bx.psu.edu/repos/iuc/mothur_collect_shared/mothur_collect_shared/1.39.5.0,Collect.shared,1.39.5.0,Generate collector's curves for calculators on OTUs,[],,[],[],,True,"[{'value': 'mothur', 'type': 'bio.tools'}]","['1.36.1.0', '1.39.5.0']",[],/tool_runner?tool_id=toolshed.g2.bx.psu.edu%2Frepos%2Fiuc%2Fmothur_collect_shared%2Fmothur_collect_shared%2F1.39.5.0,-1,galaxy_main,True,mothur,Mothur,regular,mothur_collect_shared,iuc,21a043c3ae00,toolshed.g2.bx.psu.edu,Collect.shared Generate collector's curves for calculators on OTUs Mothur
